word,vid_count,total_count
exited,30,38
care,320,673
by,589,3659
lunch,58,90
species,41,78
night,168,367
either,214,306
na,194,1329
history,224,372
to,622,30777
emia,136,149
suddenly,151,226
system,273,795
published,65,87
else,231,342
fix,68,101
amputated,4,8
reacted,22,28
came,244,377
spinal,26,46
presented,94,122
hospital,200,546
gangrene,15,21
consistency,16,18
dr,28,60
used,310,610
another,342,632
chills,29,29
ve,227,419
brought,188,253
noticed,150,196
presenting,259,381
than,512,1760
reflex,33,54
promptly,10,10
fact,237,397
year,428,969
about,588,2724
stinging,12,12
brown,49,67
purpura,4,8
clammy,4,4
roommate,13,82
”,303,1338
notice,67,95
sudden,93,121
tact,11,14
ate,133,418
needed,173,298
after,490,1522
organs,161,409
heart,241,1378
tachy,19,19
month,117,167
drove,13,13
presence,222,683
ok,143,300
other,523,1368
really,487,1588
26,23,30
void,19,19
happening,286,639
leftover,16,38
stimulate,31,39
storm,9,16
enough,381,717
lasted,13,15
gotten,100,114
sour,17,17
supplemental,18,23
kidneys,178,784
old,368,729
matter,175,272
lab,54,70
couple,121,178
stepdown,4,4
couldn,204,395
low,238,761
bleeding,61,119
pounding,28,49
told,184,309
fever,96,301
of,621,23925
starving,34,56
greek,96,142
4,177,331
wouldn,134,226
examination,134,168
beating,102,197
thrombocytopenia,10,34
appear,52,61
lesions,38,73
multi,10,16
function,175,281
cord,27,47
swelling,86,125
take,491,1378
tonight,17,21
some,572,2395
into,539,2529
passed,163,265
lungs,95,301
no,547,3062
outside,148,196
university,29,42
start,323,716
developed,116,174
hour,147,243
thrombus,10,10
weren,95,131
up,597,3114
air,117,195
shutting,61,105
usually,206,316
vein,43,90
diffuse,28,35
already,327,516
",",459,55550
emergency,272,884
partial,12,12
fast,141,241
barfed,4,4
yellow,39,94
membranes,42,51
best,273,410
can,610,5106
being,421,818
less,343,761
transported,29,31
required,49,59
administer,10,10
beat,96,122
months,253,530
dropping,30,35
breathing,95,216
defined,43,47
caused,180,335
date,48,54
seemed,112,151
“,302,1356
changes,108,158
also,530,1722
pieces,38,52
notifications,13,16
middle,112,161
everyone,176,245
together,244,355
does,400,970
empty,46,53
handled,12,12
intend,5,5
exit,20,21
under,183,249
warmth,5,5
bladder,26,60
sick,74,93
blanket,7,13
stream,106,196
medicines,162,405
food,192,643
was,598,9295
shake,46,77
weak,53,70
fine,152,321
both,298,553
piece,76,119
now,595,2931
latin,50,61
keeps,105,135
subscribe,100,104
pulsating,8,8
any,487,1220
new,396,1015
shock,59,107
greenish,17,23
threw,26,26
meninges,5,9
not,604,4298
never,335,641
spectrum,24,25
face,148,270
hypo,80,80
remaining,38,40
tachypnea,13,27
shouldn,69,76
necrosed,4,8
responsive,30,48
vaccination,5,5
hes,33,46
stops,73,93
saliva,16,29
likely,194,300
his,356,8011
throw,39,58
isn,284,706
part,366,677
size,55,70
final,120,150
i,526,12504
hasn,77,111
pass,138,224
entire,233,345
products,36,46
begged,4,4
bacteria,121,610
containing,40,41
least,262,393
moved,74,93
permanent,124,173
flatulence,12,12
separate,34,35
bernard,75,121
present,173,265
chest,97,170
different,361,724
got,390,1137
tongue,48,64
previous,53,81
eyes,166,354
emptied,13,17
thunderbolt,4,4
critically,27,32
chicken,44,95
deficiency,55,138
we,571,5336
ago,247,428
drops,17,33
making,254,391
infection,102,469
with,613,5800
around,427,1023
fulminans,4,8
due,107,159
condition,106,165
turn,105,137
thrombos,4,4
this,617,11955
earlier,146,181
floor,153,284
appearance,36,36
below,134,172
freak,18,30
nurse,234,338
said,262,463
shortness,38,55
in,621,20195
gas,71,209
pressure,152,481
quickly,224,334
from,600,4684
pushed,23,30
day,425,1240
noodles,6,16
find,270,483
fluid,129,290
hours,265,672
ill,51,61
increase,108,169
barely,44,44
know,511,2276
on,620,6156
color,45,103
called,443,1271
muscle,173,668
years,369,931
area,125,167
t,411,6281
happened,325,590
warm,44,47
edges,7,7
convulse,4,4
squeezing,14,17
apart,75,101
eat,216,579
re,344,1254
known,275,563
gone,69,94
what,597,4274
ability,101,126
until,252,378
yourself,330,437
breath,68,128
regular,114,142
toothbrush,5,5
don,338,1050
blocking,100,127
nowhere,30,33
rigidity,9,9
discoloration,4,4
sedate,16,16
must,154,237
try,251,418
deep,81,90
lightning,16,32
suspected,22,27
increased,117,175
reddish,15,15
instead,274,398
transmitted,19,24
well,559,1934
brings,152,229
terrible,65,93
emerging,6,6
head,182,249
has,553,2635
machine,89,128
become,266,543
them,518,1661
gasping,17,25
right,445,2238
bruising,21,25
pale,18,21
world,308,604
flow,184,572
vaccine,12,31
recommended,60,96
empties,9,9
finds,171,266
pupils,41,69
finish,39,50
factors,69,118
icu,44,66
dont,29,36
rise,43,48
events,61,61
flooded,8,12
dinner,60,133
partly,18,21
you,619,12467
antibiotics,80,232
bruise,15,21
swollen,98,147
cells,265,1746
cause,271,784
get,582,3168
look,328,745
meal,55,127
he,430,7403
replenish,11,11
meningococcemia,4,12
tried,140,223
drive,49,82
drew,9,13
react,60,90
people,469,2005
dark,105,174
meningitidis,10,18
purplish,10,10
good,441,1542
out,595,3130
it,621,18160
organ,97,195
scare,31,35
why,475,1452
half,246,352
exactly,225,320
sensation,30,36
recovery,147,191
where,544,1922
spread,104,220
doses,64,125
position,54,82
stare,7,13
b,42,72
flowing,84,145
worse,159,238
because,584,4508
here,498,1840
ll,247,541
blood,321,4465
feel,251,556
kept,114,157
cold,106,165
arms,68,137
your,528,3150
things,469,1410
24,59,75
at,606,4712
go,485,1780
rash,36,103
again,343,841
found,337,1067
toilet,53,77
how,559,1901
leftovers,15,38
jc,23,586
tossed,5,5
doesn,290,843
shoulda,4,4
particular,86,131
more,588,3358
wants,100,120
an,582,3278
happens,181,294
minutes,230,437
but,614,8374
publish,9,9
jelly,9,30
rashes,9,14
meningococcal,4,16
starts,203,419
specifically,102,127
preventing,96,140
humans,195,388
urine,160,547
protect,53,58
anymore,178,322
problems,249,493
alert,44,58
felt,181,453
pointing,30,39
times,297,627
haven,54,61
necrose,41,57
2,257,655
didn,296,949
every,376,853
cyto,18,18
phone,60,123
kind,325,771
student,67,143
car,73,108
pnea,16,16
knowing,63,73
lodged,30,44
drop,75,102
link,163,204
able,346,645
evidence,96,137
resources,46,62
responding,16,16
eaten,74,119
collapse,22,32
nuchal,4,4
had,514,2970
hypoxemia,21,28
push,109,172
received,60,76
teeth,42,62
make,490,1328
sent,146,228
as,605,6244
all,595,4322
lump,18,38
next,388,729
wasn,237,499
16.,5,5
continues,52,71
thromb,4,4
booster,9,9
could,537,2464
down,471,1741
meaning,313,2073
spreading,37,63
those,496,1468
oxygen,182,820
?,427,2033
consists,12,14
limbs,27,63
bacterial,62,75
stiff,26,38
time,535,2415
shut,117,187
been,490,1545
became,217,312
easy,153,221
bad,248,453
pulse,25,29
have,613,5691
s,421,8830
case,364,830
unaware,17,17
then,552,2876
broad,20,20
faster,116,139
blankly,13,13
illness,107,136
starting,192,282
are,608,5087
gon,190,1318
five,155,253
word,110,218
or,594,3631
us,439,1198
ok.,76,91
looked,136,191
tissue,180,402
aggresively,4,4
arrived,32,39
which,565,3320
needs,150,210
appears,99,112
covers,15,15
there,602,4457
declining,14,15
coagulation,8,8
serogroup,4,4
given,291,579
examining,18,18
brush,12,16
made,492,1070
floating,145,235
results,115,166
perfect,96,143
reaction,79,128
open,162,238
generally,93,109
these,532,2102
vaccines,10,15
hands,130,251
shivering,18,18
would,561,2763
high,305,808
referring,186,358
mottled,4,4
culture,39,49
rhythm,43,94
do,566,4376
idea,217,360
gray,12,15
a,622,23734
stick,69,88
bruises,8,16
catheter,29,29
clot,50,135
looking,204,312
conscious,41,61
throat,100,191
medicine,163,479
thought,345,924
inflammation,83,201
later,279,481
hungry,31,35
neisseria,10,18
pumping,48,62
911,136,139
hydrogen,56,281
forces,62,71
chemical,148,426
running,74,96
concentrated,47,74
finding,49,56
shoulders,17,25
alright,109,319
sodium,104,830
involved,56,67
opposite,86,109
create,101,143
science,119,168
lavender,5,5
affected,46,49
carbon,54,156
falling,47,53
won,137,213
congestion,11,15
concentrate,49,54
flood,11,17
whenever,34,46
powerhouse,38,58
salicylate,12,87
baking,22,37
enters,49,61
mess,23,24
exposing,7,7
mitochondria,58,170
shove,14,14
relives,5,5
bending,7,7
mother,95,184
becoming,53,55
lethargic,16,16
tablets,39,51
throughout,148,197
3,263,511
labored,10,15
admitted,65,71
stepped,20,30
quick,79,90
wheels,9,12
catch,61,74
therapies,26,37
top,150,197
control,134,224
intensifying,8,8
learned,96,116
stuff,179,297
didnt,27,54
remember,203,351
discharging,5,5
cases,143,260
pepto,6,6
boy,81,143
away,274,462
airway,18,37
without,355,676
potential,58,69
acid,123,590
aware,30,30
fatal,32,40
temperature,62,152
simply,95,119
balance,66,141
swell,61,90
soda,29,59
clinical,60,80
panic,58,76
bismol,6,6
way,511,1286
dissolve,111,142
rub,11,19
producing,52,58
struggling,26,28
dots,9,16
inhale,6,6
prevent,128,188
answer,120,159
positive,87,158
overwhelmed,11,11
consumes,17,17
reach,52,56
doesnt,50,80
creams,9,9
normally,118,143
extreme,55,76
blocked,64,78
disturb,10,10
atp,42,147
awesome,47,70
experiment,78,96
patients,147,273
joints,18,35
18,52,63
anywhere,73,83
saw,156,219
tangerine,5,5
settings,10,13
inside,250,691
great,309,522
lot,393,908
charges,20,31
delivers,13,15
huge,121,159
lesson,59,63
clues,149,151
tell,288,492
super,95,152
wherever,57,82
anti,29,30
thing,410,1054
1/3,6,6
live,190,290
amounts,133,228
force,82,104
exhale,5,5
clear,182,251
subject,43,47
essential,44,83
remedy,17,17
decline,60,101
findings,11,14
makes,285,379
think,356,937
event,49,54
within,164,197
most,421,1005
understanding,32,32
household,17,22
done,281,455
few,388,762
child,52,94
extra,154,226
semi,6,6
arthritis,21,41
son,79,184
wanted,174,227
disturbs,21,21
8k,5,5
exits,5,5
sub,13,19
hyperthermia,23,48
ingested,27,29
absorbed,77,104
absorb,65,104
hamster,6,11
wash.,10,15
use,392,736
caution,11,11
bismuth,12,12
spill,55,65
electrical,36,59
excess,79,136
lifestyle,30,37
base,67,144
dioxide,34,112
goes,213,352
nachos,11,26
aside,45,52
mom,104,200
she,242,5107
forth,13,13
pick,64,87
allows,60,62
accidentally,66,100
anything,339,639
equivalent,36,37
manipulate,6,6
acidemia,29,64
infused,30,30
her,218,5473
poison,60,93
name,299,438
ground,64,93
bicarbonate,25,81
table,77,135
ones,126,160
bringing,109,126
battery,10,12
rhythms,12,12
everyday,87,148
vinegar,45,72
backwards,19,20
settle,17,17
-osis,10,10
connected,60,80
always,279,503
permanently,51,55
attacking,15,35
combo,6,6
kids,95,175
recognize,21,25
apply,32,44
acidosis,37,127
bottle,84,200
permeable,5,5
balanced,27,44
shriveled,5,5
full,151,181
knocked,12,12
returns,20,25
extracts,5,5
inhaling,11,16
freely,54,60
wintergreen,5,30
ready,75,90
doing,307,556
references,20,21
change,142,266
yet,212,293
itself,204,309
leaving,63,70
moiety,23,23
mind,135,174
its,383,782
detect,30,35
similar,121,152
free,243,452
circuit,7,7
exchanged,7,7
drink,138,356
maintain,66,82
ingredient,17,26
charged,37,61
screw,21,36
exert,6,6
distilled,40,50
strange,57,66
formed,54,74
turned,100,117
drinking,117,221
generated,14,14
wax,13,18
big,278,537
flows,88,219
possible,288,394
disorder,74,109
admitting,216,238
having,247,408
water,259,1894
listened,17,19
links,23,24
concentration,47,60
reverse,62,78
massive,157,212
potentially,40,43
actually,426,1051
pumped,43,52
therein,5,5
bb,14,368
buildup,37,44
interesting,173,239
common,167,282
fun,135,212
smell,46,54
left,229,477
relief,19,20
generates,13,13
oils,39,139
during,238,365
gets,232,339
exhaling,5,5
established,53,54
topically,5,5
toppled,5,5
however,67,86
mix,63,106
elected,16,16
walked,30,36
coming,193,266
working,157,193
several,262,472
carpet,7,7
prevents,94,126
carrier,22,22
act,56,81
salt,99,339
hi,77,88
believe,111,130
sense,179,238
their,497,1753
compared,76,93
calls,122,152
risk,153,278
important,211,309
salicylic,6,50
ask,114,143
associated,40,52
sitting,105,139
might,381,834
uncommon,22,22
charge,57,138
confirms,35,35
toxicity,47,90
towards,119,239
released,116,147
forcing,44,50
contained,41,46
demonstrate,10,10
talk,151,217
enter,116,165
need,444,1156
bottles,49,92
vomiting,80,173
spilled,19,31
leading,105,194
aspirin,25,128
safety,29,43
energy,145,532
expand,45,54
assumed,11,11
additional,91,116
ointment,5,10
wrong,299,631
probably,376,739
danger,15,16
poisoning,81,229
each,226,388
production,108,175
counter,50,85
our,288,799
falls,51,66
sell,57,81
metabolic,80,166
regulates,11,11
trying,200,278
once,251,401
alone,89,115
happy,70,103
reason,261,402
hips,14,14
want,438,1249
wane,5,5
past,195,290
exists,61,75
related,73,80
inflammatory,42,50
movement,82,129
eliminated,36,46
own,279,541
66,8,8
dawned,5,5
single,168,245
electricity,41,69
powerful,45,52
did,466,1535
desperately,17,25
luckily,49,49
unconscious,118,198
maybe,313,737
created,77,92
moment,88,99
forever,47,54
spinning,14,17
college,101,163
aren,150,235
short,146,198
remembered,31,32
pump,44,47
job,131,198
loved,45,51
drank,111,377
megan,6,81
wheel,10,25
requires,30,31
messy,8,13
hold,143,226
toxic,89,125
touch,62,91
using,189,257
caps,12,22
dissolved,53,64
feeling,138,208
bloated,20,39
asked,101,135
taken,144,202
off,423,886
problem,371,915
friends,136,332
run,152,248
overtake,5,5
ever,307,476
boss,39,124
active,113,171
heat,59,161
calm,24,25
totally,102,151
negative,71,140
station,51,193
mechanism,44,56
setting,64,66
ion,21,43
electrolytes,21,40
bring,117,141
bicarb,8,8
verbalize,5,5
basic,86,97
filter,54,71
acetyl,6,6
very,398,1009
knew,135,226
coffee,41,157
cool,130,210
pull,81,91
suck,63,81
oil,35,114
finished,84,88
measures,19,24
methyl,18,49
trouble,104,161
formally,77,77
rush,56,77
property,37,60
flu,49,77
cure,57,108
unfamiliar,16,17
derived,28,28
acute,127,272
100,142,192
interject,5,5
side,169,270
selling,29,36
mid,19,19
plagued,6,6
drama,10,16
question,109,156
telling,103,128
emptying,14,14
logged,5,5
hyper,70,87
ship,23,49
story,133,179
human,217,398
paralysis,21,61
10,252,400
often,159,213
injured,24,28
1,233,551
blockage,24,85
sugar,95,535
solution,84,120
psychiatric,22,32
document,13,16
bubbles,9,30
chemicals,156,331
patient,146,317
cocktail,5,5
h2o2,5,10
doubt,20,22
shrugged,16,16
rest,171,243
quiet,28,34
developing,65,98
thirsty,34,34
burned,21,26
surprise,25,26
ischemia,17,38
reacting,27,27
overlooking,5,5
99,35,44
standard,43,50
mental,75,127
supposed,171,292
releases,60,76
inference,5,5
reacts,48,65
realized,92,114
life,335,723
infuse,22,26
ischemic,18,23
alongside,18,18
truth,27,28
stabilize,35,50
impurities,5,5
end,271,415
space,116,234
nonspecific,17,17
cup,36,61
queen,17,50
commotion,20,20
rheumatology,5,5
young,111,139
commentary,8,8
liberated,11,11
bought,100,135
typically,149,244
disease,164,594
rounds,40,41
glass,18,27
status,80,144
sips,10,10
unstable,21,26
resulting,81,99
sunburn,6,6
erythematosus,5,5
release,126,228
marked,32,37
figure,65,85
bones,73,143
weeks,183,408
average,105,149
health,124,247
isch-,5,5
home,233,359
staying,25,26
paralyzed,30,55
cant,24,24
help,291,558
turning,68,69
plegia,10,10
number,194,375
autoimmune,21,41
diagnosis,47,82
comes,238,375
adamant,10,10
scan,73,125
determined,47,47
periodically,11,11
longer,219,378
attacks,28,49
last,350,617
refuse,21,22
forgot,54,61
understand,136,212
onset,57,107
compound,50,59
downplayed,12,12
smelling,5,5
stable,38,79
reached,33,33
worth,135,203
hazardous,10,10
reported,70,90
week,165,438
wound,23,33
rehabilitation,14,15
wrote,76,93
card,31,60
definitely,151,211
comfortable,9,10
appointment,11,19
basically,131,205
level,150,246
exhausted,27,36
distracted,7,7
sushi,15,122
aches,25,30
chemically,11,16
autoimmunity,10,10
reflexes,35,42
urged,5,5
toes,12,12
store,79,105
7,112,128
tests,88,113
wide,55,63
solid,57,75
retail,7,7
influx,20,20
imagine,48,50
ended,72,78
habits,42,54
consequence,10,14
healing,17,21
h2o,6,7
milliliter,25,35
psychosis,25,48
signs,75,110
directly,132,171
major,85,115
guarantee,18,21
real,185,318
injury,95,212
blow,28,38
center,62,87
item,24,48
should,385,818
finally,216,326
amount,170,300
sources,22,29
protein,140,353
long,346,684
justifying,5,5
say,328,688
believed,39,45
sleep,96,360
tap,17,19
promoting,17,19
hypoglycemia,25,98
dissolving,36,69
systemic,39,41
catalase,11,11
severe,121,216
stores,85,106
living,134,195
decreased,40,65
read,123,161
agreed,27,28
creating,97,115
skeptical,11,14
doctor,100,262
bunch,120,162
esophagus,30,88
lupus,17,47
visits,18,23
contains,59,84
herself,34,59
cuts,26,26
sweety,5,5
hospitals,58,65
clean,57,62
states,170,280
someone,233,530
collapsed,47,47
pains,9,9
vibes,5,5
encourage,16,17
folks,30,35
title,33,40
described,57,82
de-identified,5,5
deeper,53,54
milliliters,10,25
united,157,253
break,167,263
hemoglobin,29,53
concept,64,83
hemiplegia,5,5
corrosive,5,5
therefore,48,68
beings,23,25
diluting,6,11
diluted,28,28
environment,53,68
35,51,141
damage,244,636
material,30,44
label,29,38
iron,43,76
bubble,8,14
fizz,5,5
contact,63,120
subside,5,5
5,213,397
grievances,5,5
breakdown,93,156
antipsychotic,5,10
although,92,109
metabolism,80,126
headache,62,114
glucose,64,247
caustic,13,21
40,106,152
n't,280,3896
considered,62,72
liver,200,1506
delusions,18,31
nose,40,49
lunchtime,16,21
who,484,1602
dived,5,5
large,168,282
helping,64,64
wanting,18,19
commonly,79,89
%,293,886
giving,110,140
peroxide,14,174
activity,109,158
-emia,17,17
diagnosed,70,81
afford,29,38
prevented,13,18
opaque,5,5
adapted,26,27
particles,16,37
locking,9,9
route,38,83
oftentimes,7,7
consciousness,113,177
breaks,117,136
revealed,65,81
issues,59,79
none,60,76
adult,51,82
peace,13,20
hallucinations,23,33
may,308,565
hemi,5,5
flare,9,9
box,48,87
taking,182,329
intestines,123,341
variety,39,46
decided,136,174
borderline,34,34
led,68,93
rheumatoid,11,11
hazmat,6,6
gallon,25,75
wounds,12,18
dangerous,82,97
against,131,194
decreases,46,51
therapy,104,157
accepted,18,20
optimize,5,5
glyc,5,5
while,417,812
panicked,11,11
communities,12,17
step,57,99
poured,13,13
almost,261,394
hyperbaric,5,10
deal,154,215
impede,5,5
kj,5,205
2000,33,44
younger,58,70
transferred,57,84
irrigation,6,7
impression,8,8
aggressively,14,14
late,150,204
machinery,9,9
available,124,184
since,310,513
refrigerating,5,5
hundreds,64,89
interests,11,11
oxygenated,15,15
jugs,5,5
effort,38,44
treated,58,88
chugging,21,29
consume,34,41
regain,26,35
result,78,99
across,121,156
enzyme,61,129
healthier,12,13
replacement,12,12
awful,22,26
rubbing,10,60
grade,23,38
liberates,5,10
volume,103,140
moving,97,136
office,55,98
lost,121,213
foaming,13,28
unresponsive,67,91
solubility,5,5
ups,16,25
liquid,49,96
took,191,351
hyperoxygenate,5,5
woman,122,177
fridge,27,36
heme,47,71
others,127,147
sometimes,209,324
centers,28,34
minimum,38,44
went,220,331
marking,5,5
serious,65,82
suspect,31,38
purchase,22,23
alternative,24,33
chamber,8,10
burns,21,34
hip,24,44
online,95,185
administration,22,27
gases,7,8
accidental,11,11
d,224,526
symptoms,119,225
erratic,12,18
seriously,51,55
holding,40,62
actively,29,29
absorbs,17,17
ingestion,27,34
pop,51,75
stretch,48,53
spit,10,14
gum,3,5
remove,87,102
bigger,67,85
tract,76,102
leaking,18,21
surgeons,18,27
block,77,122
intestinal,22,28
gut,48,125
gi,55,73
walls,59,105
swallow,37,56
stay,130,184
passes,55,64
threatening,49,68
chewing,18,28
worst,73,93
septicemia,10,10
weaken,9,9
hypercalcemia,10,50
demanded,12,12
lie,24,25
manipulating,5,5
especially,121,146
course,207,376
alkaline,8,11
regains,20,20
oxalate,16,76
says,117,162
collect,37,51
saved,25,30
heal,25,30
enabled,13,13
kill,138,269
blaming,4,4
dig,14,14
largest,62,65
closes,4,4
clearly,113,134
await,7,7
forum,18,30
whole,231,342
lining,53,96
syndrome,61,154
puberty,12,15
kidney,103,500
grown,18,18
reverted,4,4
recently,87,102
stock,29,55
108,5,21
remotely,6,6
sat,25,31
suggests,25,26
irritating,5,5
turtles,5,5
various,45,52
aggravates,4,4
women,43,111
calcium,56,354
camera,48,71
tums,4,4
ulcer,5,37
neutralizing,9,9
gummies,20,87
alkalemia,4,4
+,8,12
1970s,13,16
texture,9,9
afternoon,19,20
thousands,138,159
diet,90,260
burn,43,67
explains,78,100
reveals,96,121
stones,24,31
balancing,8,9
tends,19,19
dialysis,45,58
lecture,5,5
daughter,36,99
taste,62,96
incidence,34,51
absolutely,83,95
signal,87,200
strengthening,4,4
confused,102,136
milk,35,93
connects,45,46
calc,5,5
allowed,67,83
person,214,408
imbalance,12,12
gown,4,4
woke,48,59
research,71,105
shift,53,76
retain,4,4
thoughts,26,36
dizzy,35,49
personality,11,20
responded,29,31
kid,60,81
2010,36,51
eggs,62,193
trash,14,19
board,18,24
advise,11,12
urinate,28,63
explaining,97,135
11,70,96
phrase,14,15
supplements,41,94
7am,8,8
totaling,8,8
waiting,65,79
forgotten,16,20
solids,7,7
walk,81,107
—,28,78
breakfast,72,181
bag,39,44
spicy,14,33
neutralize,16,19
speak,87,117
levels,156,350
two,359,932
internet,139,275
abraham,4,4
brother,24,68
bed,102,140
medicating,4,4
computer,63,157
intensive,87,164
build,130,189
ulcers,11,19
seem,133,166
22,40,62
tendency,11,11
hematemesis,14,20
soup,27,32
plus,118,196
struggled,18,22
spiraling,5,5
early,170,221
phosphate,28,110
1900s,11,11
rare,45,84
antacid,9,9
impact,64,73
semi-permeable,12,12
6,120,184
muscles,171,588
prescription,16,27
17,52,60
produced,104,157
president,34,90
morning,136,244
dangers,11,11
neutralizes,4,4
pharmacy,20,25
chips,16,41
fault,14,14
tumor,45,179
alkaseltzer,4,4
basket,4,4
poisonous,22,29
bathroom,93,153
instructed,9,9
urinating,34,34
fell,66,75
self,47,64
senior,12,24
flaring,4,4
mineral,15,15
microbiome,11,29
produces,54,67
dehydrated,35,57
non-excessive,4,4
minus,17,26
brushed,8,12
electrolyte,36,45
salts,28,49
carbonate,6,23
send,83,114
giant,85,108
meant,107,146
killing,70,76
nerves,79,195
alkali,4,12
knees,9,13
signals,135,251
chewy,4,4
antacids,4,44
cream,20,26
sores,13,14
episode,64,79
coherently,5,5
batteries,13,13
picture,40,55
excrete,4,4
decrease,56,56
rehydrate,15,15
stared,4,4
seizures,73,175
somewhere,112,133
parents,59,126
discharge,48,59
gummy,31,121
osteoporosis,4,4
foods,48,91
experience,91,136
random,42,70
chalky,4,4
gave,101,117
attract,12,12
hot,101,180
knows,57,68
argued,13,17
class,90,128
brushing,7,7
newer,16,16
sample,36,38
held,42,55
loss,114,241
treat,103,179
lincoln,6,6
rely,11,15
hormone,81,182
warn,14,14
treatment,111,200
current,78,96
realize,75,91
candy,36,134
jt,5,93
destroying,19,20
herbal,17,42
ailments,5,5
insomnia,33,78
rinse,3,3
interfere,15,15
saying,117,148
false,29,29
phthalates,3,3
disrupters,3,3
statement,13,15
bits,18,25
kit,13,20
nonsense,26,30
ac,12,55
email,36,75
disappointed,13,16
heaving,3,3
term,76,102
temporary,42,44
me,342,1816
kinds,59,75
pack,23,23
crawl,14,20
tongues,4,6
absurd,3,3
slid,6,6
above,74,96
focus,54,70
lower,121,194
biting,14,14
worked,87,98
realizing,15,15
greasy,5,5
ascend,5,6
structures,42,66
existing,16,18
juice,38,107
july,11,21
hazards,9,9
bar,27,36
puncture,3,3
responsible,85,102
evolutionary,13,25
reenter,3,6
800,17,21
formulations,8,8
despising,3,3
sticks,9,23
delivered,52,60
15,156,232
forbidden,6,6
cracked,8,8
button,61,90
refreshing,6,6
hope,133,224
buy,113,239
distress,32,51
morbidity,4,4
glow,4,10
acutely,19,25
scratching,9,14
flavor,18,31
smoothly,12,12
audacity,3,3
ceiling,12,21
mistakenly,22,27
swalled,3,3
oily,5,5
90,53,68
purpose,25,30
1222,3,3
stuck,43,52
opportunities,6,7
documentation,5,5
endocrine,6,10
seems,92,125
manager,8,9
plastic,18,32
wash,60,101
burning,59,104
hormones,47,99
upset,23,35
mild,39,55
exposed,49,70
time—,8,8
glowstick,3,12
halloween,12,18
higher,150,206
glowsticks,3,24
longwinded,3,3
flexible,12,12
discomfort,24,25
career,34,35
monthly,11,11
mortality,39,49
blue,55,132
club,11,16
anonymous,6,7
price,60,115
4th,15,19
belonged,7,7
irritants,3,6
bedtime,12,17
choking,14,28
parent,5,5
work,268,534
reminded,7,7
glowing,8,8
sit,58,61
package,10,14
1-800-222-1222,3,3
celebration,7,7
undesired,3,3
mouths,14,17
overall,66,69
plastics,3,3
existed,11,13
plane,36,90
222,3,3
click,58,70
dyes,3,3
mucous,14,14
companies,47,83
significant,49,52
washed,21,26
lemonade,6,9
struggle,23,27
shapes,14,15
disillusioned,4,4
snack,11,12
youtube,142,232
talking,117,159
elderly,37,57
touched,13,14
raspberry,7,16
dry,52,83
ingest,9,13
cherry,7,11
vegetables,16,18
30,182,272
urge,31,46
